name;description;location;likes;dislikes;benefits_cordial;benefits_loyal;benefits_intimate;last_demand
Harko;A figura deste qareen moreno de bracos fortes e riso facil e uma visao comum para aqueles que visitam a oficina ou a taverna quando acaba o dia. A chegada dos herois deu novo animo ao armeiro agora muito empolgado com a ideia de produzir novos armamentos em vez de utensilios domesticos!;Oficina;Dias de sol|cerveja|festas|armas exoticas;Objetos domesticos de metal|pessoas calmas demais|passividade;Suas armas recebem +1 em testes de ataque e dano no primeiro encontro da proxima masmorra.;Como acima mas muda a duracao dos bonus para ate o proximo descanso realizado dentro da masmorra.;Os bonus acima duram ate o final da masmorra.;Harko tem como objetivo final sofrer a maior ressaca de todos os tempos ate transcender e se tornar o Deus Menor das Festas! Para isso precisa de comida e bebida: sera eternamente grato a quem trouxer a maior caca de todos os tempos que pode ser encontrada nas masmorras de Allihanna, Oceano, Lena ou Megalokk.
Juno;Este minotauro musculoso possui uma pelagem castanha que vai gradualmente se tornando mais escura conforme se aproxima das costas. Apesar da aparencia imponente possui um semblante contemplativo que disfarca uma sabedoria profunda e filosofica. Estudioso de tecnicas e praticas de fortalecimento corporal e um lutador habilidoso embora prefira usar argumentos em vez dos punhos sempre que possivel.;Arena;Combate desarmado|liberdade|comida|Tapista;Armas|covardia|escravidao|preguica;O dano de seus ataques desarmados aumenta um passo.;Voce recebe +5 em testes de manobra com ataques desarmados.;Uma vez por rodada quando acerta um ataque desarmado voce pode fazer uma manobra com um ataque desarmado contra esse alvo como acao livre.;Um filosofo marcial Juno acredita que a oportunidade de meditar em um espaco divino poderia ajudar a responder alguns de seus questionamentos pessoais. Isso e uma missao de escolta na masmorra de Lin-Wu ou Tauron.
Kandor;Os olhos analiticos do artesao local parecem incapazes de deixar um detalhe sequer passar. Kandor e um aggelus quieto e muito focado em seu trabalho geralmente encontrado em uma sala pequena na Oficina onde exerce seu oficio. Raramente interage fora de seu posto. E um homem de varios talentos: artesanato, alfaiataria, carpintaria entre outros.;Oficina;Plantas|conchas|objetos de formato organico;Festas|pessoas barulhentas|desperdicio;Voce recebe uma ferramenta aprimorada a sua escolha.;Voce paga metade do preco por itens mundanos que Kandor consiga fabricar (ou seja paga apenas pela materia-prima).;Kandor faz um ajuste especial em um dos itens do personagem. Este item aumenta o total de pontos de vida do personagem em +10 por patamar ou o total de pontos de mana em +1 por patamar.;Kandor e obcecado com a perfeicao de seus itens sempre inspirados em formas naturais. Para entender melhor o mundo natural e se inspirar deseja descricoes vividas: uma missao de pesquisa na masmorra de Allihanna, Azgher ou Oceano.
Lassance;Uma mulher muito bela talvez a mais bela que os aventureiros tenham visto em suas vidas. Os cabelos verdes mais parecem folhagens de arvores a pele se confunde com madeira sedosa: trata-se de uma driade. Gosta de observar aqueles que adentram o bosque mas sem se mostrar, aproxima-se apenas quando sente seguranca ou gosta particularmente de alguem no grupo. Nestes casos Lassance e bem-humorada divertida e curiosa. Em respeito aos demais habitantes de Candessah acabou adquirindo o habito de usar roupas ou imitacoes convincentes crescidas de folhas e petalas.;Bosque;Pessoas belas|geleia|chuva|ficar nua;Desrespeito a natureza|matanca|flores;Voce recebe +2 em Adestramento e Cura.;Voce pode lancar Controlar Plantas. Caso ja conheca essa magia seu custo diminui em -1 PM.;Voce pode usar o poder Companheiro Animal como um druida de mesmo nivel.;Nada conquistaria mais a afeicao de Lassance que uma geleia de frutas especial. Esta e uma missao de manufatura em tres masmorras diferentes para trazer frutas unicas transformando-as em uma geleia inigualavel.
Lyssara;Esta aggelus aparenta ser uma mulher mais velha por volta de 45 anos em idade humana. Seus cabelos sao de um azul escuro com olhos violetas e sorriso encantador. Lyssara e apaixonada por flores desde que se lembra dedicando sua vida a cultiva-las. Um pouco timida se solta apenas quando o assunto sao flores e seu cultivo. Tem voz calma e acolhedora e esta sempre disposta a ajudar quem precisa; sente muita dificuldade em negar pedidos o que a coloca em algumas situacoes desconfortaveis.;Mercado;Flores|livros|silencio|sobremesas de baunilha;Gente invadindo seu espaco pessoal|gente que fala alto|chocolate;Voce recebe +2 em Oficio (alquimista) e Sobrevivencia.;Voce soma seu atributo principal nos pontos de vida que recupera usando habilidades.;Quando usa um preparado alquimico seu efeito aumenta em um dado do mesmo tipo (so afeta preparados com efeito expresso em dados).;Lyssara diz existir uma flor rara que ela sempre desejou: a Kinabalu Magica uma tulipa luminosa de cores sempre em mutacao. Esta e uma missao de recuperacao na masmorra de Wynna unico lugar onde a rara flor cresce.
Mahin;Atras do balcao uma aggelus jovem de cabelos ruivos levemente desgrenhados e olhos lilases estrelados e convidativos. Aqueles que visitaram a taverna podem sentir que estao passando por um deja-vu mas Mahin vai suspirar e desfazer a confusao que irmas gemeas causam. Mahin e reservada e silenciosa mas tem grande conhecimento de todas as localizacoes de Candessah e sempre indica o caminho certo para qualquer lugar.;Estalagem;Mapas|pecas de ceramica|Nima;Tecidos esvoaçantes|itens de madeira|animais selvagens;Seus Pontos de Vida maximos aumentam em +3 por patamar.;Quando descansa voce tambem elimina uma condicao.;Quando faz um descanso que aumentaria PV acima do valor maximo voce recebe o excedente como PV temporarios. Estes pontos temporarios desaparecem ao final da proxima masmorra.;Mahin e Nima ja foram muito proximas mas as duas discutiram anos atras. Nada deixaria Mahin mais feliz do que fazer as pazes com Nima. Como pedido de desculpas quer lirios brancos perfeitos para a irma: uma missao de pesquisa (Sobrevivencia) em uma das seguintes masmorras: Allihanna, Marah ou Glorienn.
Martin;O humano Martin foi um habil e moralmente questionavel mercenario de Portsmouth que ao morrer recebeu um contrato inesperado: auxiliar os futuros libertadores em Candessah. Magro e alto com o rosto marcado por pequenas cicatrizes que seu cavanhaque negro e cabelos longos nao conseguem esconder ele nao disfarca sua natureza nem as habilidades que tem a oferecer. Se alguem se importa em lutar sujo nao e um problema dele.;Qualquer (vaga pela cidade);Dinheiro|combate desonrado|violencia;Magia arcana|combate honrado|pacifismo;Voce pode usar Valentao.;Voce recebe resistencia a magia arcana +5.;O bonus em rolagens de dano que voce recebe pelo poder Valentao aumenta para +5.;Apesar de parecer nao se importar com nada nem ninguem Martin sente saudade de sua vida como mercenario e sobretudo de seus companheiros de bando. Ele sabe que o estandarte de seu grupo mercenario esta em uma masmorra e gostaria de recupera-lo. Isso e uma missao de busca na masmorra de Keenn.
Myssia;Moca de cabelos loiros encaracolados e pele escura usa um casaco longo e branco bem fechado com botoes amarelos, gravata borboleta azul e calca ornamentada com sapatos sociais. Esta aggelus permanece o dia todo no balcao da guilda lidando com montes de papeis com requisicoes dos varios habitantes da cidade planar. Extremamente organizada ela pensa e fala de forma rapida as vezes rapido demais para ser entendida.;Guilda;Organizacao|listas bem-feitas|sorvete de morango;Bagunca|coisas erraticas|cebola na comida;Uma vez por masmorra voce pode rolar novamente um teste de pericia relacionado a uma missao.;Quando o grupo conclui uma missao o mestre rola duas recompensas e os personagens escolhem uma delas.;Voce pode elaborar sua propria missao escolhendo suas caracteristicas na tabela de missoes aleatorias. Cada personagem so pode usar este beneficio uma vez.;Myssia e muito atenciosa com todos. Nada interessa mais a ela que o bem estar dos outros. Sua Ultima Demanda e que a Ultima Demanda de duas outras pessoas sejam concluidas.
Nahiri;Esta qareen do ar tem a pele escura tradicional dos habitantes de Halak-Tur. Tem cabelos verde-claro assim como os olhos e a Marca de Wynna nas costas. Nahiri nao sabe exatamente de onde veio, um dia apareceu ainda bebe na porta do anao Tharuk que entao a criou como filha. Cresceu como mercadora assim como o pai. Atende a todos com seu melhor sorriso e muita alegria. Nahiri adora ouvir historias sobre aventureiros e treinar algumas magias para desespero de Tharuk.;Mercado;Aventuras|coisas brilhantes|flertar|magia;Assuntos burocraticos|tempo frio|pimenta;Voce recebe +2 em Diplomacia.;Voce pode lancar Criar Ilusao. Caso ja conheca essa magia seu custo diminui em -1 PM.;Nahiri se torna uma parceira veterana adepta, ajudante ou magivocadora.;Nahiri sonha ser aventureira e a presenca dos herois entrando e saindo das masmorras mexe com sua imaginacao. Ela quer acompanhar o grupo em uma missao de escolta em qualquer masmorra.
Nerus;Uma amistosa e musculosa elfa-do-mar de cabelos verdes e curtos sempre vista com longas botas de couro ate metade das coxas com shorts verdes e uma camisa sem mangas alem de um colete repleto de iscas e linhas. Cheia de energia sempre convida os aventureiros para se juntar a ela e seu marido Andris na pesca diaria.;Pesqueiro;Peixes raros|marcenaria|nadar;Dias nublados|comidas doces|aulas|qualquer tipo de ensinamento nao pratico que demore muito;Voce recebe +2 em Atletismo e Sobrevivencia.;Voce recebe proficiencia com o arpao.;Enquanto segura a corda de um arpao preso a um alvo voce pode gastar uma acao padrao e fazer um teste de manobra contra o alvo. Se passar ele fica caido e e arrastado 9m na sua direcao.;Nerus sonha pescar um kraken do pesqueiro e precisa de uma isca especial para a enorme presa. Sera uma missao de caca na masmorra de Allihanna, Oceano ou Megalokk em busca de alguma criatura capaz de agucar o apetite do monstro.
Nima;Atras do balcao uma aggelus jovem de cabelos ruivos levemente desgrenhados e olhos lilases estrelados e convidativos. Aqueles que visitaram a estalagem podem sentir que estao passando por um dejavu mas Nima vai rir gentilmente e desfazer a confusao: Mahin e sua irma gemea. Diferente dela Nima e solicita e fala bastante sobre todo mundo, bem relacionada conhece cada habitante da cidade e pode oferecer valiosas perspectivas sobre eles.;Taverna;Conversas|especiarias|lirios brancos|Mahin;Roupas de couro|armaduras|animais selvagens;Quando voce consome um prato especial seu bonus de alimentacao dura dois dias (bonus que gastam como pontos temporarios sao renovados automaticamente no inicio do segundo dia).;Voce pode acumular dois bonus de alimentacao por vez.;Uma vez por visita a Candessah voce pode realizar uma comemoracao para toda a cidade! Pague uma quantia igual a metade do dinheiro inicial do nivel da proxima masmorra (por exemplo T$ 200 para o Desafio de Lena). Se fizer isso voce recebe resistencia a magia +5 e 10 PV temporarios por patamar (estes beneficios desaparecem ao final da proxima masmorra).;Nima e Mahin ja foram muito proximas mas as duas discutiram anos atras. Nada deixaria Nima mais feliz do que fazer as pazes com Mahin. Como pedido de desculpas deseja um vaso de ceramica perfeito para presentear a irma: uma missao de manufatura em uma das seguintes masmorras: Lena, Marah ou Wynna.
Nthanda;Se o cheiro de ervas e alquimicos nao denuncia a presenca de Nthanda certamente a grande altura e o olhar benevolente o fazem. Esta aggelus traz a pele tatuada com padroes arboreos que brilham como as estrelas. Nthanda e conhecida por sua serenidade e caridade que costumam ser estendidas a qualquer um apesar de ser uma mulher de poucas palavras. Pode ser encontrada no laboratorio geralmente fabricando algum balsamo ou outro remedio para alguem necessitado.;Laboratorio;Orvalho|chuva|passaros|penas coloridas;Pelo de animal|bagunca e sujeira;Em cada retorno a Candessah voce ganha o equivalente a 2d4 x T$ 10 em essencias de mana e/ou balsamos restauradores.;Aumenta para 2d6 x T$ 10 e inclui acidos, bombas e fogos alquimicos.;Alem dos anteriores inclui uma pocao a sua escolha entre Curar Ferimentos (4d8+4), Bola de Fogo (6d6), Purificacao ou Resistencia a Energia.;Nthanda tem o desejo mais profundo de quase todo alquimista: transformar a materia atraves de uma pocao. Para isso ela precisa de um catalisador universal poderoso algo que so pode ser conseguido em ambiente carregado de energia divina. E uma missao de manufatura de Oficio (alquimista) em qualquer masmorra.
Phylla;Mulher pequena de riso facil e maos rapidas Phylla e a mais jovem trabalhadora da Oficina mas nao a menos agitada. E possivel ver o borrao de sua cabeleira ruiva correndo para todo lado trabalhando ou procurando suas ferramentas perdidas. A sulfure tem grande respeito por tudo que vive e um amor ainda mais intenso por historias de outras culturas.;Oficina;Itens de pedra|culturas distantes|historias;Livros|coisas paradas|pessoas quietas demais;Voce recebe +2 em testes de Investigacao e Percepcao.;Uma vez por masmorra voce pode achar uma ferramenta de Phylla em seus bolsos. Voce pode escolher uma ferramenta com uma melhoria mas precisa dar uma boa explicacao sobre como ela foi parar ali!;Voce pode gastar 1 PM para encontrar uma fraqueza em um inimigo (como se tivesse passado em um teste para identificar criatura). Se ele usa armadura ou e um construto voce tambem recebe +5 em rolagens de dano contra ele.;Alem de ser uma fenomenal couraceira Phylla tem outro grande talento: perder suas ferramentas! Seu brunidor favorito de grande valor sentimental acabou levado para uma masmorra por aventureiros anteriores. Ela precisa que realizem uma missao de recuperacao em qualquer masmorra.
Punddin;Moreau herdeira do coelho com longas orelhas brancas que saltam fora do chapeu de chef que costuma usar. Suas roupas de trabalho sao vestidos cheios de babados em cor-de-rosa com um avental branco por cima. Punddin e uma pessoa doce calma e muito timida. Gosta de assar doces para os outros mesmo sendo habilitada para fazer bem mais que isso. Para ela oferecer uma sobremesa e sempre a melhor maneira de comecar uma conversa.;Churrascaria;Coelhos|cor rosa|chantilly|livros de terror;Pimenta|carne|bagunca na cozinha;Voce recebe +2 em Oficio (cozinheiro).;Uma vez por dia quando fabrica um ou mais pratos especiais voce pode gastar 1 PM para que eles concedam 2d8 PV temporarios cumulativo com os beneficios normais.;Alem dos beneficios normais seus pratos especiais permitem ignorar a primeira condicao de medo ou mental sofrida ate o fim do dia.;Punddin quer agradecer aos herois fazendo um bolo enorme mas seu acucar de fada acabou. Ela vai requisitar uma saca desse acucar como uma missao de recuperacao na masmorra de Glorienn, Lena, Marah ou Wynna.
Rafiq;Rafiq e um jovem aggelus alto de pele escura totalmente careca. Tem rosto marcado e profundos olhos dourados muito expressivos. E normalmente visto em vestes sacerdotais e armadura completa. Aventureiros inclinados a razoes nobres tem a sua predicao.;Templo;Heroismo|livros de romances historicos|incenso;Barulho|exibicionismo|descrenca ou desrespeito aos deuses;Suas magias de cura recuperam +1 PV por circulo de magia que voce seja capaz de conjurar.;Escolha uma magia divina que conheca. O custo para lanca-la diminui em -1 PM cumulativo com outras reducoes.;Suas magias divinas de toque ganham um novo aprimoramento: +1 PM muda o alcance para curto.;Como prova de sua devocao Rafiq pede que os aventureiros levem suas oferendas aos deuses. Sao tres missoes de entrega em masmorras de deuses diferentes que canalizam energia positiva.
Tanit;Esta qareen de curvas acentuadas e cabelo cacheado lilas pode ser vista em trajes leves e veus geralmente ministrando alguma cerimonia durante a noite. Tanit e responsavel por ritos de energia negativa uma raridade na cidade planar. A cleriga se mostra entediada em relacao aos moradores locais mas extremamente interessada nos aventureiros sem poupa-los de elogios ou ajuda.;Templo;Poder|joias|presentes caros|passeios noturnos;Altruismo|flores|luzes fortes;Voce aprende uma magia divina de necromancia ou transmutacao de 1o circulo a sua escolha.;Sempre que reduz um ou mais inimigos a 0 PV ou menos com uma magia divina de dano voce recebe 2 PM temporarios.;Mesmo apos desaparecer Tanit nao esquece de seu salvador. Sempre que o personagem chega a metade de seus PV totais pela primeira vez em uma masmorra um espirito abissal aparece e atua por uma cena como um parceiro veterano adepto, assassino, destruidor, guardiao ou magivocador, ou realiza uma tarefa a sua escolha como no efeito basico da magia Servo Divino (Tormenta20, p. 205).;Tanit esta farta desta cidadela. Ela precisa de uma escolta a qualquer masmorra de um deus que canaliza energia negativa. Se levada ali vai completar um ritual para alcancar o reino divino dessa divindade e escapar para sempre.
Teclis;A silhueta franzina do escriba local e facil de ser encontrada entre pergaminhos. Os olhos escuros nao escondem a timidez a menos que esteja falando de magia! O elfo Teclis tem amor profundo pelo conhecimento arcano e sera muito solicito com conjuradores e aqueles dotados pela magia.;Biblioteca;Conhecimento arcano|pergaminhos|misterios magicos;Inventores|engenhoqueiros|goblinoides|armas de fogo;Ao procurar um pergaminho especifico na biblioteca voce pode rolar dois dados e usar o melhor resultado.;Quando lanca uma magia de um pergaminho voce tem 25% de chance de que esse pergaminho nao seja consumido.;Escolha um pergaminho contendo uma magia de ate 3o circulo que voce nao conhece. Durante a proxima masmorra essa magia faz parte de suas magias conhecidas.;Aficionado por magia Teclis pede para que os personagens tragam novas informacoes magicas completando uma missao de reconhecimento em uma das seguintes masmorras: Wynna, Tanna-Toh ou Glorienn.
Tharuk;Um anao forte de barba e cabelos pretos muito focado no trabalho e na filha. Embora conversador Tharuk prefere nao falar do passado: um dia ele tambem tentou ser um Libertador mas seu grupo foi arrasado e apenas ele se salvou. Decidiu ficar em Candessah nao vendo sentido em voltar para Arton derrotado. Em sua tristeza foi agraciado com a tarefa de criar a pequena Nahiri que tem sido a luz da sua vida desde entao. Sempre trata todos muito bem basta nao mexer com sua filha!;Mercado;Nahiri|cerveja ana|historias de Doherimm;Falar do passado|anaos sem barba|gente mexendo com sua filha;A cada retorno a Candessah voce ganha um item a sua escolha de ate T$ 100.;O valor do item que voce ganha aumenta para T$ 200.;Tharuk se torna um parceiro veterano combatente, fortao ou guardiao.;Tharuk evita mencionar seu tempo como um pretenso Libertador mas existe algo que ele nao consegue esquecer: na fuga acabou deixando para tras seu fiel machado anao heranca de familia. Ele torce para que a arma valiosa ainda esteja na ultima masmorra que visitou. Esta e uma missao de recuperacao em uma das cinco primeiras masmorras a escolha do mestre.
Tonhao;Tonhao e um grande ogro de cabelos curtos e sorriso bobo que vive com seus espetos de carne favoritos presos as costas e cintura como se fossem espadas. Tem tambem a compulsao de estar sempre limpando as maos em uma toalha. Aprecia testar novas receitas de suas famosas linguicas com o povo da Candessah tentando encontrar o balanco perfeito entre carnes e temperos. Chegou recentemente a cidade depois que seu bando o deixou para morrer por nao querer ser um guerreiro como os outros.;Churrascaria;Carne|cozinhar|ajuda para cozinhar;Peixe|dias chuvosos|nao poder cozinhar;Ao extrair recursos de uma criatura voce extrai um recurso extra.;Voce aprende e pode lancar Abencoar Alimentos. Caso ja conheca essa magia seu custo diminui em -1 PM.;Quando voce pede um misturadinho dos deuses pode gastar um ingrediente adicional para escolher um quarto acompanhamento.;Tonhao quer assar o churrasco perfeito. Para isso precisa temperar o metal de seus espetos em uma fonte de calor sobrenatural. Ele entrega seus espetos para uma missao de manufatura envolvendo Oficio (artesao) na masmorra de Azgher, Thyatis ou Wynna.
